City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,monticello,45.3055,-93.7941,24.97,40,100,3.6,US,1694741675
1,colima,19.1667,-104.0,25.78,95,54,1.0,MX,1694741676
2,grytviken,-54.2811,-36.5092,-4.51,97,75,1.47,GS,1694741676
3,saint-francois,46.4154,3.9054,12.69,100,0,0.0,FR,1694741676
4,lihue,21.9789,-159.3672,28.58,82,75,6.69,US,1694741555
5,stanley,54.868,-1.6985,12.1,92,40,0.51,GB,1694741677
6,inhambane,-23.865,35.3833,19.19,88,2,3.91,MZ,1694741678
7,namtsy,62.7161,129.6658,6.6,66,46,3.7,RU,1694741679
8,ranong,9.9658,98.6348,24.96,94,100,2.85,TH,1694741680
9,edinburgh of the seven seas,-37.0676,-12.3116,10.64,58,27,0.47,SH,1694741680
10,kiratu,-3.3333,35.6667,15.29,81,57,2.88,TZ,1694741680
11,mengyin,35.7069,117.9264,24.53,47,0,0.47,CN,1694741681
12,jamestown,42.097,-79.2353,11.8,82,0,2.57,US,1694741681
13,ilulissat,69.2167,-51.1,4.01,70,100,4.12,GL,1694741405
14,georgetown,5.4112,100.3354,28.86,89,20,1.54,MY,1694741523
15,puerto ayora,-0.7393,-90.3518,23.08,89,81,3.13,EC,1694741682
16,waitangi,-43.9535,-176.5597,12.12,81,15,6.71,NZ,1694741683
17,vorgashor,67.5833,63.95,10.21,94,100,2.91,RU,1694741683
18,ushuaia,-54.8,-68.3,0.81,75,20,1.54,AR,1694741489
19,manokwari,-0.8667,134.0833,25.93,84,100,3.15,ID,1694741684
20,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,47,40,5.0,RU,1694741684
21,bilibino,68.0546,166.4372,6.94,56,80,1.37,RU,1694741684
22,yellowknife,62.456,-114.3525,13.01,91,75,1.03,CA,1694741408
23,olonkinbyen,70.9221,-8.7187,5.13,80,100,3.36,SJ,1694741685
24,quincy,42.2529,-71.0023,18.95,78,0,2.06,US,1694741535
25,coxen hole,16.3244,-86.5366,28.83,78,8,5.64,HN,1694741686
26,carnarvon,-24.8667,113.6333,20.78,60,1,4.68,AU,1694741687
27,adamstown,-25.066,-130.1015,18.7,63,100,11.64,PN,1694741687
28,hawaiian paradise park,19.5933,-154.9731,27.24,80,75,4.63,US,1694741688
29,laguna,38.421,-121.4238,34.69,40,0,3.6,US,1694741394
30,badger,64.8,-147.5333,12.85,72,75,3.6,US,1694741689
31,whitehorse,60.7161,-135.0538,8.9,73,100,6.17,CA,1694741689
32,nizhneangarsk,55.7833,109.55,12.03,56,27,2.25,RU,1694741689
33,laascaanood,8.4774,47.3597,23.02,69,100,9.19,SO,1694741690
34,scottburgh,-30.2867,30.7532,16.05,90,40,1.98,ZA,1694741690
35,mytilene,39.11,26.5547,22.52,46,30,3.17,GR,1694741691
36,puerto natales,-51.7236,-72.4875,1.34,99,100,1.48,CL,1694741507
37,invercargill,-46.4,168.35,8.9,76,92,6.71,NZ,1694741691
38,tralee,52.2704,-9.7026,11.12,96,100,2.0,IE,1694741691
39,fonte boa,-2.4959,-66.2662,25.97,62,1,0.42,BR,1694741692
40,kavieng,-2.5744,150.7967,28.12,76,94,4.84,PG,1694741692
41,vilhena,-12.7406,-60.1458,22.21,86,99,1.08,BR,1694741692
42,igarka,67.4667,86.5833,10.45,84,100,5.28,RU,1694741693
43,santa ana de yacuma,-13.75,-65.4333,24.43,46,46,2.72,BO,1694741693
44,port-aux-francais,-49.35,70.2167,4.62,90,100,14.54,TF,1694741694
45,baruun-urt,46.6806,113.2792,13.87,60,100,5.02,MN,1694741694
46,ust-nera,64.5667,143.2,5.5,71,97,2.91,RU,1694741694
47,tiksi,71.6872,128.8694,1.45,99,100,0.74,RU,1694741695
48,lefka,35.1106,32.8506,23.08,41,0,0.88,CY,1694741695
